'Reference'|'Qty'|'Value'|'DNP'|'Exclude from BOM'|'Exclude from Board'|'Footprint'|'Datasheet'
'BT1'|'1'|'Battery'|''|''|''|'OptoDevice:Osram_SFH225'|''
'D1,D2,D3'|'3'|'LED'|''|''|''|'LED_THT:LED_D3.0mm'|''
'J1'|'1'|'Barrel_Jack_Switch'|''|''|''|'Connector_BarrelJack:BarrelJack_Horizontal'|''
'K1'|'1'|'SRD-12VDC-SL-C'|''|''|''|'Relay:RELAY_SRD-12VDC-SL-C'|''
'L1'|'1'|'L_Small'|''|''|''|'Inductor_THT:L_Toroid_Horizontal_D69.1mm_P63.20mm_Vishay_TJ9'|''
'Q1,Q2'|'2'|'IRLZ44N'|''|''|''|'Package_TO_SOT_THT:TO-220-3_Vertical'|'http://www.irf.com/product-info/datasheets/data/irlz44n.pdf'
'R1,R2'|'2'|'360'|''|''|''|'Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal'|''
'R3'|'1'|'R_Variable'|''|''|''|'Potentiometer_THT:Potentiometer_Bourns_3386W_Horizontal'|''
'R4'|'1'|'380'|''|''|''|'Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal'|''
'R6'|'1'|'R_Photo'|''|''|''|'Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal'|''
'R7'|'1'|'2000'|''|''|''|'Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal'|''
'R8'|'1'|'100'|''|''|''|'Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal'|''
'R9'|'1'|'10000'|''|''|''|'Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal'|''
